analytics_json,captured_at,frame_hex,frame_id,measurement_id,measurement_timestamp,payload_json,session_id,temperature,temperature_unit,unit,value
,2025-09-26T08:59:31.653745,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3033231e03,103,103,2025-09-26T08:59:31.653Z,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3033231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""\u0001#CX-505 S/N00308/25#0#00000#00000#\u0017\u0002#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:03#"", ""fields"": [""\u0001"", ""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000"", ""\u0017\u0002"", ""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:03""], ""sequence"": ""\u0001"", ""value"": null, ""value_text"": ""CX-505 S/N00308/25"", ""value_unit"": ""S/N00308/25"", ""value_unit_slug"": ""s_n00308_25"", ""temperature"": 0.0, ""temperature_text"": ""0"", ""temperature_unit"": null, ""temperature_unit_slug"": null, ""unit"": ""S/N00308/25"", ""date"": ""00000"", ""time"": ""00000"", ""extra_fields"": [""\u0017\u0002"", ""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:03""]}, ""captured_at"": ""2025-09-26T08:59:31.653Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3033231e03""}",6,0.0,,S/N00308/25,
"{""unit"": ""% O2"", ""samples_tracked"": 1}",2025-09-26T08:59:31.658088,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3034231e03,104,104,2025-09-26T10:54:04,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3034231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:04#"", ""fields"": [""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:04""], ""sequence"": ""00000"", ""value"": -5.0, ""value_text"": ""-5.0 % O2"", ""value_unit"": ""% O2"", ""value_unit_slug"": ""percent_o2"", ""temperature"": 32.1, ""temperature_text"": ""32.1 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""% O2"", ""temperature_celsius"": 32.1, ""date"": ""26-09-2025"", ""time"": ""10:54:04"", ""timestamp"": ""2025-09-26T10:54:04""}, ""captured_at"": ""2025-09-26T08:59:31.658Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3034231e03"", ""analytics"": {""unit"": ""% O2"", ""samples_tracked"": 1}}",6,32.1,deg C,% O2,-5.0
"{""unit"": ""% O2"", ""samples_tracked"": 2, ""stability_index"": 0.0}",2025-09-26T08:59:31.658088,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3035231e03,105,105,2025-09-26T10:54:05,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3035231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:05#"", ""fields"": [""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:05""], ""sequence"": ""00000"", ""value"": -5.0, ""value_text"": ""-5.0 % O2"", ""value_unit"": ""% O2"", ""value_unit_slug"": ""percent_o2"", ""temperature"": 32.1, ""temperature_text"": ""32.1 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""% O2"", ""temperature_celsius"": 32.1, ""date"": ""26-09-2025"", ""time"": ""10:54:05"", ""timestamp"": ""2025-09-26T10:54:05""}, ""captured_at"": ""2025-09-26T08:59:31.658Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3035231e03"", ""analytics"": {""unit"": ""% O2"", ""samples_tracked"": 2, ""stability_index"": 0.0}}",6,32.1,deg C,% O2,-5.0
"{""unit"": ""% O2"", ""samples_tracked"": 3, ""stability_index"": 0.0}",2025-09-26T08:59:32.222528,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3036231e03,106,106,2025-09-26T10:54:06,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3036231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:06#"", ""fields"": [""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:06""], ""sequence"": ""00000"", ""value"": -5.0, ""value_text"": ""-5.0 % O2"", ""value_unit"": ""% O2"", ""value_unit_slug"": ""percent_o2"", ""temperature"": 32.1, ""temperature_text"": ""32.1 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""% O2"", ""temperature_celsius"": 32.1, ""date"": ""26-09-2025"", ""time"": ""10:54:06"", ""timestamp"": ""2025-09-26T10:54:06""}, ""captured_at"": ""2025-09-26T08:59:32.222Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3036231e03"", ""analytics"": {""unit"": ""% O2"", ""samples_tracked"": 3, ""stability_index"": 0.0}}",6,32.1,deg C,% O2,-5.0
"{""unit"": ""% O2"", ""samples_tracked"": 4, ""stability_index"": 0.0}",2025-09-26T08:59:33.387431,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3037231e03,107,107,2025-09-26T10:54:07,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3037231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:07#"", ""fields"": [""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:07""], ""sequence"": ""00000"", ""value"": -5.0, ""value_text"": ""-5.0 % O2"", ""value_unit"": ""% O2"", ""value_unit_slug"": ""percent_o2"", ""temperature"": 32.1, ""temperature_text"": ""32.1 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""% O2"", ""temperature_celsius"": 32.1, ""date"": ""26-09-2025"", ""time"": ""10:54:07"", ""timestamp"": ""2025-09-26T10:54:07""}, ""captured_at"": ""2025-09-26T08:59:33.387Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3037231e03"", ""analytics"": {""unit"": ""% O2"", ""samples_tracked"": 4, ""stability_index"": 0.0}}",6,32.1,deg C,% O2,-5.0
"{""unit"": ""% O2"", ""samples_tracked"": 5, ""moving_average"": -5.0, ""stability_index"": 0.0}",2025-09-26T08:59:34.558666,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3039231e03,108,108,2025-09-26T10:54:09,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3039231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:09#"", ""fields"": [""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:09""], ""sequence"": ""00000"", ""value"": -5.0, ""value_text"": ""-5.0 % O2"", ""value_unit"": ""% O2"", ""value_unit_slug"": ""percent_o2"", ""temperature"": 32.1, ""temperature_text"": ""32.1 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""% O2"", ""temperature_celsius"": 32.1, ""date"": ""26-09-2025"", ""time"": ""10:54:09"", ""timestamp"": ""2025-09-26T10:54:09""}, ""captured_at"": ""2025-09-26T08:59:34.558Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3039231e03"", ""analytics"": {""unit"": ""% O2"", ""samples_tracked"": 5, ""moving_average"": -5.0, ""stability_index"": 0.0}}",6,32.1,deg C,% O2,-5.0
"{""unit"": ""% O2"", ""samples_tracked"": 6, ""moving_average"": -5.0, ""stability_index"": 0.0}",2025-09-26T08:59:35.718713,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3130231e03,109,109,2025-09-26T10:54:10,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3130231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:10#"", ""fields"": [""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:10""], ""sequence"": ""00000"", ""value"": -5.0, ""value_text"": ""-5.0 % O2"", ""value_unit"": ""% O2"", ""value_unit_slug"": ""percent_o2"", ""temperature"": 32.1, ""temperature_text"": ""32.1 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""% O2"", ""temperature_celsius"": 32.1, ""date"": ""26-09-2025"", ""time"": ""10:54:10"", ""timestamp"": ""2025-09-26T10:54:10""}, ""captured_at"": ""2025-09-26T08:59:35.718Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3130231e03"", ""analytics"": {""unit"": ""% O2"", ""samples_tracked"": 6, ""moving_average"": -5.0, ""stability_index"": 0.0}}",6,32.1,deg C,% O2,-5.0
"{""unit"": ""% O2"", ""samples_tracked"": 7, ""moving_average"": -5.0, ""stability_index"": 0.0}",2025-09-26T08:59:36.878006,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3131231e03,110,110,2025-09-26T10:54:11,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3131231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:11#"", ""fields"": [""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:11""], ""sequence"": ""00000"", ""value"": -5.0, ""value_text"": ""-5.0 % O2"", ""value_unit"": ""% O2"", ""value_unit_slug"": ""percent_o2"", ""temperature"": 32.1, ""temperature_text"": ""32.1 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""% O2"", ""temperature_celsius"": 32.1, ""date"": ""26-09-2025"", ""time"": ""10:54:11"", ""timestamp"": ""2025-09-26T10:54:11""}, ""captured_at"": ""2025-09-26T08:59:36.878Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3131231e03"", ""analytics"": {""unit"": ""% O2"", ""samples_tracked"": 7, ""moving_average"": -5.0, ""stability_index"": 0.0}}",6,32.1,deg C,% O2,-5.0
"{""unit"": ""% O2"", ""samples_tracked"": 8, ""moving_average"": -5.0, ""stability_index"": 0.0}",2025-09-26T08:59:39.718796,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3131231e03,111,111,2025-09-26T10:54:11,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3131231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:11#"", ""fields"": [""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:11""], ""sequence"": ""00000"", ""value"": -5.0, ""value_text"": ""-5.0 % O2"", ""value_unit"": ""% O2"", ""value_unit_slug"": ""percent_o2"", ""temperature"": 32.1, ""temperature_text"": ""32.1 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""% O2"", ""temperature_celsius"": 32.1, ""date"": ""26-09-2025"", ""time"": ""10:54:11"", ""timestamp"": ""2025-09-26T10:54:11""}, ""captured_at"": ""2025-09-26T08:59:39.718Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3131231e03"", ""analytics"": {""unit"": ""% O2"", ""samples_tracked"": 8, ""moving_average"": -5.0, ""stability_index"": 0.0}}",6,32.1,deg C,% O2,-5.0
"{""unit"": ""% O2"", ""samples_tracked"": 9, ""moving_average"": -5.0, ""stability_index"": 0.0}",2025-09-26T08:59:39.722001,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3132231e03,112,112,2025-09-26T10:54:12,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3132231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# -5.0 % O2 # 32.1 deg C #26-09-2025#10:54:12#"", ""fields"": [""Nr:00000"", ""-5.0 % O2"", ""32.1 deg C"", ""26-09-2025"", ""10:54:12""], ""sequence"": ""00000"", ""value"": -5.0, ""value_text"": ""-5.0 % O2"", ""value_unit"": ""% O2"", ""value_unit_slug"": ""percent_o2"", ""temperature"": 32.1, ""temperature_text"": ""32.1 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""% O2"", ""temperature_celsius"": 32.1, ""date"": ""26-09-2025"", ""time"": ""10:54:12"", ""timestamp"": ""2025-09-26T10:54:12""}, ""captured_at"": ""2025-09-26T08:59:39.722Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a3030303030232020202d352e302025a04f3220202020202320202033322e3120b043202332362d30392d323032352331303a35343a3132231e03"", ""analytics"": {""unit"": ""% O2"", ""samples_tracked"": 9, ""moving_average"": -5.0, ""stability_index"": 0.0}}",6,32.1,deg C,% O2,-5.0
